Government level,State/UT,Ministry,Department,Category,Source name,Official URL,API URL,Has API,Formats,Has schemes,Has facility DB,Has registration data,Data fields,Update frequency,Reuse/licensing,Access method,Research status,Notes,Last checked
ut,Jammu and Kashmir,,Women & Child Development Department,mixed,Jammu and Kashmir — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Jammu and Kashmir,,Health & Family Welfare Department,facilities,Jammu and Kashmir — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Jammu and Kashmir,,Disability / Divyangjan Commissionerate,mixed,Jammu and Kashmir — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Jammu and Kashmir,,Rural Development Department,schemes,Jammu and Kashmir — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Jammu and Kashmir,,Urban Development / Municipal (Homeless Shelters),facilities,Jammu and Kashmir — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Ladakh,,Social Welfare Department,mixed,Ladakh — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Ladakh,,Women & Child Development Department,mixed,Ladakh — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Ladakh,,Health & Family Welfare Department,facilities,Ladakh — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Ladakh,,Disability / Divyangjan Commissionerate,mixed,Ladakh — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Ladakh,,Rural Development Department,schemes,Ladakh — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Ladakh,,Urban Development / Municipal (Homeless Shelters),facilities,Ladakh — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Lakshadweep,,Social Welfare Department,mixed,Lakshadweep — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Lakshadweep,,Women & Child Development Department,mixed,Lakshadweep — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Lakshadweep,,Health & Family Welfare Department,facilities,Lakshadweep — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Lakshadweep,,Disability / Divyangjan Commissionerate,mixed,Lakshadweep — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Lakshadweep,,Rural Development Department,schemes,Lakshadweep — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Lakshadweep,,Urban Development / Municipal (Homeless Shelters),facilities,Lakshadweep — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Puducherry,,Social Welfare Department,mixed,Puducherry — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Puducherry,,Women & Child Development Department,mixed,Puducherry — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Puducherry,,Health & Family Welfare Department,facilities,Puducherry — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Puducherry,,Disability / Divyangjan Commissionerate,mixed,Puducherry — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Puducherry,,Rural Development Department,schemes,Puducherry — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Puducherry,,Urban Development / Municipal (Homeless Shelters),facilities,Puducherry — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
